,WordA,WordB,AlphaN,Corpus Sentence,Form,Percept,Culture,Power,Intense,Icon,Freq,Len,Lapse,*BStress,OverallFreq,RelFreq,model.prop,Extremity,Experimental sentence,,,Notes,Too weird?,"""",
149,mechanics,technique,1138,It is she *ICH*-1 who *T*-2 says aye or nay to the intimate questions of sexual technique and mechanics -- not the husband .,-1,1,0,0,0,0,-1.272442836,-1,-1,-1,516,0.5484496124,0.40453658,0.59546342,My ballet teacher gave us an overview of the X and Y during the first class.,My ballet teacher gave us an overview of the mechanics and technique during the first class.,My ballet teacher gave us an overview of the technique and mechanics during the first class.,,,"""alpha""; 149; My ballet teacher gave us an overview of the mechanics and technique during the first class.","""nonalpha""; 149; My ballet teacher gave us an overview of the technique and mechanics during the first class."
150,cowboy,rancher,"For Tom Horn , it turned out 0 *T*-1 , had a number of rancher and cowboy witnesses ready and willing * to swear with straight faces that he had been in Bates Hole the day of the killing .","For Tom Horn , it turned out 0 *T*-1 , had a number of rancher and cowboy witnesses ready and willing * to swear with straight faces that he had been in Bates Hole the day of the killing .",It turned out that Tom had a number of cowboy and rancher witnesses ready to swear with straight faces that he had been out of town the day of the killing.,It turned out that Tom had a number of rancher and cowboy witnesses ready to swear with straight faces that he had been out of town the day of the killing.,,,,,,,,1,537,0.6573556797,0.59530524,0.59530524,It turned out that Tom had a number of X and Y witnesses ready to swear with straight faces that he had been out of town the day of the killing.,It turned out that Tom had a number of cowboy and rancher witnesses ready to swear with straight faces that he had been out of town the day of the killing.,It turned out that Tom had a number of rancher and cowboy witnesses ready to swear with straight faces that he had been out of town the day of the killing.,,,"""alpha""; 150; It turned out that Tom had a number of cowboy and rancher witnesses ready to swear with straight faces that he had been out of town the day of the killing.","""nonalpha""; 150; It turned out that Tom had a number of rancher and cowboy witnesses ready to swear with straight faces that he had been out of town the day of the killing."
151,fishermen,scientists,1025,Scientists and fishermen have occasionally seen strange by-products of the phenomenon .,0,0,0,-1,0,0,-1.6614522,0,0,0,453,0.5607064018,0.40475835,0.59524165,Around this area X and Y have occasionally seen strange by-products of the phenomenon.,Around this area fishermen and scientists have occasionally seen strange by-products of the phenomenon.,Around this area scientists and fishermen have occasionally seen strange by-products of the phenomenon.,,,"""alpha""; 151; Around this area fishermen and scientists have occasionally seen strange by-products of the phenomenon.","""nonalpha""; 151; Around this area scientists and fishermen have occasionally seen strange by-products of the phenomenon."
152,doctors,president,Any attempt * to reconcile this statement of the central issue in the campaign of 1956 with the nature of the man who *T*-1 could not conceive it as the central issue will at least resolve our confusions about the chaotic and misleading results of the earnestness of both doctors and President in a situation which *T*-2 should never have arisen .,Any attempt * to reconcile this statement of the central issue in the campaign of 1956 with the nature of the man who *T*-1 could not conceive it as the central issue will at least resolve our confusions about the chaotic and misleading results of the earnestness of both doctors and President in a situation which *T*-2 should never have arisen .,"Despite the many meetings, the doctors and president never managed to reach an agreement on this issue.","Despite the many meetings, the president and doctors never managed to reach an agreement on this issue.",,,,,,,,0,0,NA,0.40481858,0.59518142,"Despite the many meetings, the X and Y never managed to reach an agreement on this issue.","Despite the many meetings, the doctors and president never managed to reach an agreement on this issue.","Despite the many meetings, the president and doctors never managed to reach an agreement on this issue.",,,"""alpha""; 152; Despite the many meetings, the doctors and president never managed to reach an agreement on this issue.","""nonalpha""; 152; Despite the many meetings, the president and doctors never managed to reach an agreement on this issue."
153,dogs,grandchildren,I think that my grandmother was not an impassioned gardener : she was too indulgent a lover of dogs and grandchildren .,I think that my grandmother was not an impassioned gardener : she was too indulgent a lover of dogs and grandchildren .,My grandmother was too indulgent a lover of dogs and grandchildren to be an impassioned gardener.,My grandmother was too indulgent a lover of grandchildren and dogs to be an impassioned gardener.,,,,,,,,1,98,0.4591836735,0.59387091,0.59387091,My grandmother was too indulgent a lover of X and Y to be an impassioned gardener.,My grandmother was too indulgent a lover of dogs and grandchildren to be an impassioned gardener.,My grandmother was too indulgent a lover of grandchildren and dogs to be an impassioned gardener.,,,"""alpha""; 153; My grandmother was too indulgent a lover of dogs and grandchildren to be an impassioned gardener.","""nonalpha""; 153; My grandmother was too indulgent a lover of grandchildren and dogs to be an impassioned gardener."
154,maintenance,travel,1186,She served for a number of years without pay beyond her travel and maintenance .,0,0,1,0,0,0,-0.2493569712,-1,-1,0,815,0.1926380368,0.59329913,0.59329913,Having served for a number of years without pay beyond her X and Y she finally left for a better job.,Having served for a number of years without pay beyond her maintenance and travel she finally left for a better job.,Having served for a number of years without pay beyond her travel and maintenance she finally left for a better job.,,,"""alpha""; 154; Having served for a number of years without pay beyond her maintenance and travel she finally left for a better job.","""nonalpha""; 154; Having served for a number of years without pay beyond her travel and maintenance she finally left for a better job."
155,authority,decency,"The red-haired captain , towering above the prisoner as a symbol of decency and authority , was shocked *-1 to find himself looking with sympathy upon Philip Spencer .","The red-haired captain , towering above the prisoner as a symbol of decency and authority , was shocked *-1 to find himself looking with sympathy upon Philip Spencer .",This man of authority and decency finally gave in under the blow.,This man of decency and authority finally gave in under the blow.,,,,,,,,0,70,1,0.59327386,0.59327386,This man of X and Y finally gave in under the blow.,This man of authority and decency finally gave in under the blow.,This man of decency and authority finally gave in under the blow.,,,"""alpha""; 155; This man of authority and decency finally gave in under the blow.","""nonalpha""; 155; This man of decency and authority finally gave in under the blow."
156,linguistics,psychiatry,679,"The joint investigations of linguistics and psychiatry have established , in point of fact , that no matter what the subject of conversation is *T*-3 or what words *T*-2 are involved *-1 , it *EXP*-6 is impossible for people to talk at all without *-5 telling over and over again what sort of people they are *T*-4 and how they relate to the rest of the world *T*-7 .",0,0,1,0,0,0,-1.087292191,1,1,0,0,NA,0.59297672,0.59297672,Dr. Chang was trained in both X and Y before launching his successful career.,Dr. Chang was trained in both linguistics and psychiatry before launching his successful career.,Dr. Chang was trained in both psychiatry and linguistics before launching his successful career.,,,"""alpha""; 156; Dr. Chang was trained in both linguistics and psychiatry before launching his successful career.","""nonalpha""; 156; Dr. Chang was trained in both psychiatry and linguistics before launching his successful career."
157,disrespect,misunderstanding,"Here Wright gave a slight sigh of weariness , and continued , `` It means more long years lived * across the social grain of the life of our people , * making shift *-1 to live in the face of popular disrespect and misunderstanding as I best can * for myself and those dependent upon me '' .","Here Wright gave a slight sigh of weariness , and continued , `` It means more long years lived * across the social grain of the life of our people , * making shift *-1 to live in the face of popular disrespect and misunderstanding as I best can * for myself and those dependent upon me '' .",Wright had to endure the disrespect and misunderstanding as he best could.,Wright had to endure the misunderstanding and disrespect as he best could.,,,,,,,,1,55,0,0.59180901,0.59180901,Wright had to endure the X and Y as he best could.,Wright had to endure the disrespect and misunderstanding as he best could.,Wright had to endure the misunderstanding and disrespect as he best could.,,,"""alpha""; 157; Wright had to endure the disrespect and misunderstanding as he best could.","""nonalpha""; 157; Wright had to endure the misunderstanding and disrespect as he best could."
158,disarray,impasse,"Harold Clurman is right * to say that `` Waiting For Godot '' is a reflection -LRB- he calls it a distorted reflection -RRB- `` of the impasse and disarray of Europe 's present politics , ethic , and common way of life '' .","Harold Clurman is right * to say that `` Waiting For Godot '' is a reflection -LRB- he calls it a distorted reflection -RRB- `` of the impasse and disarray of Europe 's present politics , ethic , and common way of life '' .","According to some, the disarray and impasse of European politics were reflected in ""Waiting For Godot"".","According to some, the impasse and disarray of European politics were reflected in ""Waiting For Godot"".",,,,,,,,0,0,NA,0.40875002,0.59124998,"According to some, the X and Y of European politics were reflected in ""Waiting For Godot"".","According to some, the disarray and impasse of European politics were reflected in ""Waiting For Godot"".","According to some, the impasse and disarray of European politics were reflected in ""Waiting For Godot"".",,,"""alpha""; 158; According to some, the disarray and impasse of European politics were reflected in ""Waiting For Godot"".","""nonalpha""; 158; According to some, the impasse and disarray of European politics were reflected in ""Waiting For Godot""."
159,form,mess,738,Then he began *-1 to speak about the tension in art between the mess and form .,0,0,0,0,0,0,3.536626061,0,0,0,0,NA,0.59060511,0.59060511,The tension between X and Y is an important topic in art.,The tension between form and mess is an important topic in art.,The tension between mess and form is an important topic in art.,,,"""alpha""; 159; The tension between form and mess is an important topic in art.","""nonalpha""; 159; The tension between mess and form is an important topic in art."
160,criminality,madness,The Final Solution proved that the Jew-baiter of any variety exposes himself as *-2 being implicated *-1 in the criminality and madness of others .,The Final Solution proved that the Jew-baiter of any variety exposes himself as *-2 being implicated *-1 in the criminality and madness of others .,The young man disgusted by the criminality and madness around him left home to become a monk.,The young man disgusted by the madness and criminality around him left home to become a monk.,,,,,,,,0,250,0.396,0.41013553,0.58986447,The young man disgusted by the X and Y around him left home to become a monk.,The young man disgusted by the criminality and madness around him left home to become a monk.,The young man disgusted by the madness and criminality around him left home to become a monk.,,,"""alpha""; 160; The young man disgusted by the criminality and madness around him left home to become a monk.","""nonalpha""; 160; The young man disgusted by the madness and criminality around him left home to become a monk."
161,immersion,involvement,579,"A third , one of at least equal and perhaps even greater importance , *ICH*-1 is now being traversed *-4 : American immersion and involvement in world affairs .",-1,0,0,0,1,0,-2.121644045,0,0,0,155,0.3935483871,0.41043303,0.58956697,The country's X and Y in world affairs has increased over the years.,The country's immersion and involvement in world affairs has increased over the years.,The country's involvement and immersion in world affairs has increased over the years.,,,"""alpha""; 161; The country's immersion and involvement in world affairs has increased over the years.","""nonalpha""; 161; The country's involvement and immersion in world affairs has increased over the years."
162,handle,hinge,497,"Each brass handle and hinge shone for his reward , and he knew how * to get at the dust in the china flowers *T*-2 and how * to take down the long glass drops which *T*-1 hung from the chandelier *T*-3 .",0,0,1,0,0,0,2.568432399,-1,-1,-1,46,0,0.58935293,0.58935293,Each and every X and Y shone after the hardworking maid completed her work.,Each and every handle and hinge shone after the hardworking maid completed her work.,Each and every hinge and handle shone after the hardworking maid completed her work.,"I'm removing ""brass"" because it's ambiguous whether it refers to only the first conjunct or to both",,"""alpha""; 162; Each and every handle and hinge shone after the hardworking maid completed her work.","""nonalpha""; 162; Each and every hinge and handle shone after the hardworking maid completed her work."
163,barnyard,coop,"The events of the last quarter of an hour , mysterious to any bird accustomed * only to the predictable life of coop and barnyard , had overcome the doctor 's hen and she gave out a series of cackly wails , *-1 perhaps mourning her nest , but briefly enjoyed .","The events of the last quarter of an hour , mysterious to any bird accustomed * only to the predictable life of coop and barnyard , had overcome the doctor 's hen and she gave out a series of cackly wails , *-1 perhaps mourning her nest , but briefly enjoyed .",Any bird accustomed only to the predictable life of barnyard and coop would be overwelmed by the events of the last hour.,Any bird accustomed only to the predictable life of coop and barnyard would be overwelmed by the events of the last hour.,,,,,,,,0,0,NA,0.41225918,0.58774082,Any bird accustomed only to the predictable life of X and Y would be overwelmed by the events of the last hour.,Any bird accustomed only to the predictable life of barnyard and coop would be overwelmed by the events of the last hour.,Any bird accustomed only to the predictable life of coop and barnyard would be overwelmed by the events of the last hour.,,,"""alpha""; 163; Any bird accustomed only to the predictable life of barnyard and coop would be overwelmed by the events of the last hour.","""nonalpha""; 163; Any bird accustomed only to the predictable life of coop and barnyard would be overwelmed by the events of the last hour."
164,rheum,visions,974,"All kinds *ICH*-3 come *-2 to walk in the promenade : merchants from the bazaar bickering over a deal ; ; a Bakhtiari khan in a cap and hacking jacket ; ; dervishes who *T*-1 stand with the stillness of the blind , their eyes filmed * with rheum and visions ; ; the old Kajar princes arriving in their ancient limousines ; ; students , civil servants , beggars , musicians , hawkers , and clowns .",0,1,0,0,0,0,-2.559332958,1,1,1,0,NA,0.5875751,0.5875751,x,x,x,,,"""alpha""; 164; x","""nonalpha""; 164; x"
165,linguists,psychotherapists,936,"Yet , in spite of this , intensive study of the taped interviews by teams of psychotherapists and linguists laid bare the surprising fact that , in the first five minutes of an initial interview , the patient often reveals as many as a dozen times just what *T*-1 's wrong with him ; ; *-2 to spot these giveaways the therapist must know either intuitively or scientifically how * to listen *T*-3 .",0,0,0,0,0,0,0.7291254805,3,1,0,0,NA,0.587176,0.587176,Teams of X and Y attended the conference to present their work.,Teams of linguists and psychotherapists attended the conference to present their work.,Teams of psychotherapists and linguists attended the conference to present their work.,,,"""alpha""; 165; Teams of linguists and psychotherapists attended the conference to present their work.","""nonalpha""; 165; Teams of psychotherapists and linguists attended the conference to present their work."
166,control,needs,"Thus , if corporations are not * to run away with us , they must become quasi-governmental institutions , subject to public control and needs .","Thus , if corporations are not * to run away with us , they must become quasi-governmental institutions , subject to public control and needs .",Corporations must become quasi-governmental institutions subject to public control and needs if they are not to run away with us.,Corporations must become quasi-governmental institutions subject to public needs and control if they are not to run away with us.,,,,,,,,0,866,0.5912240185,0.58684224,0.58684224,Corporations must become quasi-governmental institutions subject to public X and Y if they are not to run away with us.,Corporations must become quasi-governmental institutions subject to public control and needs if they are not to run away with us.,Corporations must become quasi-governmental institutions subject to public needs and control if they are not to run away with us.,,,"""alpha""; 166; Corporations must become quasi-governmental institutions subject to public control and needs if they are not to run away with us.","""nonalpha""; 166; Corporations must become quasi-governmental institutions subject to public needs and control if they are not to run away with us."
167,marbles,shooters,712,"Ludie had a cigar box full of marbles and shooters , and a Roman candle from last Fourth of July .",1,0,0,0,0,0,1.126288424,0,0,0,0,NA,0.58498513,0.58498513,x,x,x,,,"""alpha""; 167; x","""nonalpha""; 167; x"
168,ages,pressure,"It was partially cemented *-1 by ages and pressure , yet it crumpled before the onslaught of the powerful streams , the force of a thousand fire hoses , and with the gold 0 it held *T*-2 washed down through the long sluices .","It was partially cemented *-1 by ages and pressure , yet it crumpled before the onslaught of the powerful streams , the force of a thousand fire hoses , and with the gold 0 it held *T*-2 washed down through the long sluices .",x,x,,maybe,,,,,,0,0,NA,0.41630322,0.58369678,x,x,x,,maybe,"""alpha""; 168; x","""nonalpha""; 168; x"
169,sprains,swellings,1093,"For sprains and swellings , one pint of cider vinegar and half a pint of spirits of turpentine added * to three well beaten eggs was said *-1 to give speedy relief .",0,0,0,0,1,0,-0.4534259527,1,1,1,191,0.5392670157,0.58311083,0.58311083,It is said that for X and Y one pint of cider vinegar added to three beaten eggs can give speedy relief.,It is said that for sprains and swellings one pint of cider vinegar added to three beaten eggs can give speedy relief.,It is said that for swellings and sprains one pint of cider vinegar added to three beaten eggs can give speedy relief.,,,"""alpha""; 169; It is said that for sprains and swellings one pint of cider vinegar added to three beaten eggs can give speedy relief.","""nonalpha""; 169; It is said that for swellings and sprains one pint of cider vinegar added to three beaten eggs can give speedy relief."
170,people,soils,878,"`` People and soils respond slowly '' , says *T*-2 Walter Clark , `` but the time *ICH*-1 has now come when the gardens produce delicious long-keeping vegetables due to this enrichment program *T*-3 .",0,1,0,0,0,0,4.010670412,-1,-1,-1,0,NA,0.58222868,0.58222868,Designers need to take both X and Y into consideration when designing gardens for their clients.,Designers need to take both people and soils into consideration when designing gardens for their clients.,Designers need to take both soils and people into consideration when designing gardens for their clients.,,,"""alpha""; 170; Designers need to take both people and soils into consideration when designing gardens for their clients.","""nonalpha""; 170; Designers need to take both soils and people into consideration when designing gardens for their clients."
171,self-indulgence,softness,1076,America did not become great through softness and self-indulgence .,0,0,0,0,0,0,-1.420368153,-2,0,0,0,NA,0.4186749,0.5813251,The president knew very well that X and Y was not going to be a successful strategy,The president knew very well that self-indulgence and softness was not going to be a successful strategy,The president knew very well that softness and self-indulgence was not going to be a successful strategy,,,"""alpha""; 171; The president knew very well that self-indulgence and softness was not going to be a successful strategy","""nonalpha""; 171; The president knew very well that softness and self-indulgence was not going to be a successful strategy"
172,head-tossing,prancing,516,"This could be told *-1 chiefly from a sort of head-tossing and prancing , a horselike balkiness of demeanor .",0,1,0,0,0,0,-5.011828612,-1,0,0,0,NA,0.4210168,0.5789832,The pop star's signature X and Y cannot be easily immitated by impersonators.,The pop star's signature head-tossing and prancing cannot be easily immitated by impersonators.,The pop star's signature prancing and head-tossing cannot be easily immitated by impersonators.,,,"""alpha""; 172; The pop star's signature head-tossing and prancing cannot be easily immitated by impersonators.","""nonalpha""; 172; The pop star's signature prancing and head-tossing cannot be easily immitated by impersonators."
173,liquor,luxury,693,"Early in her life she had discovered that where there were men *T*-1 , there was money , and with the two came luxury and liquor .",0,1,0,0,0,0,0.05604932955,1,1,0,43,1,0.57886267,0.57886267,She had indulged herself in X and Y too much before re-examining her way of life.,She had indulged herself in liquor and luxury too much before re-examining her way of life.,She had indulged herself in luxury and liquor too much before re-examining her way of life.,,,"""alpha""; 173; She had indulged herself in liquor and luxury too much before re-examining her way of life.","""nonalpha""; 173; She had indulged herself in luxury and liquor too much before re-examining her way of life."
174,choosing,pace,"Until now , Lilac Gaylor and Lila Kingsley had been like an anagram which he could unscramble *T*-1 at his own pace and choosing .","Until now , Lilac Gaylor and Lila Kingsley had been like an anagram which he could unscramble *T*-1 at his own pace and choosing .",x,x,we would typically say *at* one's own pace but *of* one's own choosing,yes,,,,,,-1,0,NA,0.42137983,0.57862017,x,x,x,we would typically say *at* one's own pace but *of* one's own choosing,yes,"""alpha""; 174; x","""nonalpha""; 174; x"
175,adaptations,cycles,"This life has its own currents and rhythms , its own multiple cycles and adaptations .","This life has its own currents and rhythms , its own multiple cycles and adaptations .",The Pacific Ocean marine life's adaptations and cycles are the focus of Dr. Green's research.,The Pacific Ocean marine life's cycles and adaptations are the focus of Dr. Green's research.,,,,,,,,0,52,0,0.4220136,0.5779864,The Pacific Ocean marine life's X and Y are the focus of Dr. Green's research.,The Pacific Ocean marine life's adaptations and cycles are the focus of Dr. Green's research.,The Pacific Ocean marine life's cycles and adaptations are the focus of Dr. Green's research.,,,"""alpha""; 175; The Pacific Ocean marine life's adaptations and cycles are the focus of Dr. Green's research.","""nonalpha""; 175; The Pacific Ocean marine life's cycles and adaptations are the focus of Dr. Green's research."
176,classicist,mathematician,"She is not only a trained mathematician and Classicist , but a good architect .","She is not only a trained mathematician and Classicist , but a good architect .",She is not only a trained classicist and mathematician but also a good architect.,She is not only a trained mathematician and classicist but also a good architect.,,,,,,,,0,0,NA,0.42353137,0.57646863,She is not only a trained X and Y but also a good architect.,She is not only a trained classicist and mathematician but also a good architect.,She is not only a trained mathematician and classicist but also a good architect.,,,"""alpha""; 176; She is not only a trained classicist and mathematician but also a good architect.","""nonalpha""; 176; She is not only a trained mathematician and classicist but also a good architect."
177,benefactor,sponsor,"Eleazar Wheelock , a Presbyterian minister , founded the school in 1769 , *-1 naming it after the second earl of Dartmouth , its sponsor and benefactor .","Eleazar Wheelock , a Presbyterian minister , founded the school in 1769 , *-1 naming it after the second earl of Dartmouth , its sponsor and benefactor .",It was announced that the school would be renamed after its benefactor and sponsor from its early years.,It was announced that the school would be renamed after its sponsor and benefactor from its early years.,,,,,,,,0,108,0,0.42556062,0.57443938,It was announced that the school would be renamed after its X and Y from its early years.,It was announced that the school would be renamed after its benefactor and sponsor from its early years.,It was announced that the school would be renamed after its sponsor and benefactor from its early years.,,,"""alpha""; 177; It was announced that the school would be renamed after its benefactor and sponsor from its early years.","""nonalpha""; 177; It was announced that the school would be renamed after its sponsor and benefactor from its early years."
178,fear,ritual,984,There are many domains in which understanding has brought about widespread and quite appropriate reduction in ritual and fear *T*-1 .,0,-1,0,0,0,0,1.596975416,2,2,1,0,NA,0.57430361,0.57430361,A reduction in X and Y has been observed in the tribes as modern science gains more influence.,A reduction in fear and ritual has been observed in the tribes as modern science gains more influence.,A reduction in ritual and fear has been observed in the tribes as modern science gains more influence.,,,"""alpha""; 178; A reduction in fear and ritual has been observed in the tribes as modern science gains more influence.","""nonalpha""; 178; A reduction in ritual and fear has been observed in the tribes as modern science gains more influence."
179,freedom,israel,605,"For many immigrants , for many children , the first thing *ICH*-2 0 they knew *T*-1 of Israel and freedom was your mother .",0,0,-1,0,0,0,0.5428600246,1,1,0,62,0,0.42596858,0.57403142,For the soldier X and Y are above everything else.,For the soldier freedom and israel are above everything else.,For the soldier israel and freedom are above everything else.,,,"""alpha""; 179; For the soldier freedom and israel are above everything else.","""nonalpha""; 179; For the soldier israel and freedom are above everything else."
180,force,voice,1221,And I select this sentence as its pertinent summation : `` in essence the drama of his -LRB- Eisenhower 's -RRB- Presidency can be described *-1 as the ordeal of a nation turned conservative and struggling -- thus far with but limited and precarious success -- * to give effective voice and force to that conservatism '' .,0,0,0,1,0,0,0.2241129119,0,0,0,508,0.1850393701,0.57398036,0.57398036,The campaign seeks to give X and Y to those striving for their rights.,The campaign seeks to give force and voice to those striving for their rights.,The campaign seeks to give voice and force to those striving for their rights.,,,"""alpha""; 180; The campaign seeks to give force and voice to those striving for their rights.","""nonalpha""; 180; The campaign seeks to give voice and force to those striving for their rights."
181,ribs,wagon,977,"He furled the slashed sides of the canvas tarpaulins , *-1 leaving the ribs and wagon open .",0,0,0,0,0,0,-0.6128875245,1,1,1,0,NA,0.57300708,0.57300708,x,x,x,,,"""alpha""; 181; x","""nonalpha""; 181; x"
182,defeat,misfortune,"Almost nothing is said *-1 of Charles ' spectacular victories , the central theme being the heroic loyalty of the Swedish people to their idolized king in misfortune and defeat .","Almost nothing is said *-1 of Charles ' spectacular victories , the central theme being the heroic loyalty of the Swedish people to their idolized king in misfortune and defeat .",The heroic loyalty of the Swedish people to their king in defeat and misfortune was the central theme of the play.,The heroic loyalty of the Swedish people to their king in misfortune and defeat was the central theme of the play.,,,,,,,,1,606,0.3613861386,0.57265418,0.57265418,The heroic loyalty of the Swedish people to their king in X and Y was the central theme of the play.,The heroic loyalty of the Swedish people to their king in defeat and misfortune was the central theme of the play.,The heroic loyalty of the Swedish people to their king in misfortune and defeat was the central theme of the play.,,,"""alpha""; 182; The heroic loyalty of the Swedish people to their king in defeat and misfortune was the central theme of the play.","""nonalpha""; 182; The heroic loyalty of the Swedish people to their king in misfortune and defeat was the central theme of the play."
183,danger,nuisance,"And Mr. Skyros did n't like Angie , but what with Prettyman and three of his boys inside , and not likely *-1 to come out -- And Angie such a valuable salesman , Prettyman said *T*-2 -- All the nuisance and danger of * getting in touch with practically a whole new bunch of boys -- Why did everything have *-3 to happen at once *T*-4 ? ?","And Mr. Skyros did n't like Angie , but what with Prettyman and three of his boys inside , and not likely *-1 to come out -- And Angie such a valuable salesman , Prettyman said *T*-2 -- All the nuisance and danger of * getting in touch with practically a whole new bunch of boys -- Why did everything have *-3 to happen at once *T*-4 ? ?",Young boys were the main danger and nuisance according to the glassware store owner.,Young boys were the main nuisance and danger according to the glassware store owner.,,,,,,,,0,499,0.248496994,0.57223603,0.57223603,Young boys were the main X and Y according to the glassware store owner.,Young boys were the main danger and nuisance according to the glassware store owner.,Young boys were the main nuisance and danger according to the glassware store owner.,,,"""alpha""; 183; Young boys were the main danger and nuisance according to the glassware store owner.","""nonalpha""; 183; Young boys were the main nuisance and danger according to the glassware store owner."
184,meaningfulness,relevance,968,"The artistic interest , then , lies in what the encounter may be made *-1 to represent *T*-2 , in the power of some central significance 0 * to draw the details into relevance and meaningfulness *T*-3 .",0,0,0,0,0,0,-2.853648545,-1,-1,0,461,0.4403470716,0.4281653,0.5718347,The comments are sorted by their X and Y in order to be used for market research.,The comments are sorted by their meaningfulness and relevance in order to be used for market research.,The comments are sorted by their relevance and meaningfulness in order to be used for market research.,,,"""alpha""; 184; The comments are sorted by their meaningfulness and relevance in order to be used for market research.","""nonalpha""; 184; The comments are sorted by their relevance and meaningfulness in order to be used for market research."
185,envelope,pencil,When she came back *T*-1 Eugenia was sitting at the kitchen table with a pencil and envelope *-2 jotting down words and figures .,When she came back *T*-1 Eugenia was sitting at the kitchen table with a pencil and envelope *-2 jotting down words and figures .,Eugenia was sitting at the kitchen table with the envelope and pencil jotting down words and figures.,Eugenia was sitting at the kitchen table with the pencil and envelope jotting down words and figures.,,,,,,,,1,347,0.5677233429,0.42838137,0.57161863,Eugenia was sitting at the kitchen table with the X and Y jotting down words and figures.,Eugenia was sitting at the kitchen table with the envelope and pencil jotting down words and figures.,Eugenia was sitting at the kitchen table with the pencil and envelope jotting down words and figures.,,,"""alpha""; 185; Eugenia was sitting at the kitchen table with the envelope and pencil jotting down words and figures.","""nonalpha""; 185; Eugenia was sitting at the kitchen table with the pencil and envelope jotting down words and figures."
186,everything,politics,Those O'Dwyers had that Irish clannishness that *T*-1 made them stick together in spite of politics and everything .,Those O'Dwyers had that Irish clannishness that *T*-1 made them stick together in spite of politics and everything .,x,x,,"We should probably exclude ""and everything"" binomials (similar to ""and things"", ""and stuff"", ""and such"", etc.)",,,,,,0,856,0,0.57145784,0.57145784,x,x,x,,"We should probably exclude ""and everything"" binomials (similar to ""and things"", ""and stuff"", ""and such"", etc.)","""alpha""; 186; x","""nonalpha""; 186; x"
187,denial,ignorance,"*-3 Having persisted too long in deliberate ignorance and denial of the forces that *T*-2 threatened her , Pamela was relieved *ICH*-1 now *-3 to admit their potency and to be taking definite steps toward * grappling with them .","*-3 Having persisted too long in deliberate ignorance and denial of the forces that *T*-2 threatened her , Pamela was relieved *ICH*-1 now *-3 to admit their potency and to be taking definite steps toward * grappling with them .",Pamela realized that denial and ignorance were not the best ways to deal with those threatening forces.,Pamela realized that ignorance and denial were not the best ways to deal with those threatening forces.,,,,,,,,0,960,0.2645833333,0.57110443,0.57110443,Pamela realized that X and Y were not the best ways to deal with those threatening forces.,Pamela realized that denial and ignorance were not the best ways to deal with those threatening forces.,Pamela realized that ignorance and denial were not the best ways to deal with those threatening forces.,,,"""alpha""; 187; Pamela realized that denial and ignorance were not the best ways to deal with those threatening forces.","""nonalpha""; 187; Pamela realized that ignorance and denial were not the best ways to deal with those threatening forces."
188,spume,wrack,1097,One soft evening -- that marvelous sea-blessed time when the sun 's departing warmth lingers and a smell of spume and wrack haunts everything *T*-1 -- Amy had picked herself off the floor and begun *-2 to walk .,0,-1,0,0,0,0,-0.6543023239,0,0,0,0,NA,0.42921531,0.57078469,x,x,x,,,"""alpha""; 188; x","""nonalpha""; 188; x"
189,competence,willingness,"Men continuously at the head of growing enterprises can acquire experiences of the most varied , complicated and trying type so that at maturation they have developed the competence and willingness * to accept the personal responsibility so sorely needed * now .","Men continuously at the head of growing enterprises can acquire experiences of the most varied , complicated and trying type so that at maturation they have developed the competence and willingness * to accept the personal responsibility so sorely needed * now .",The heads of growing enterprises can develop the competence and willingness to accept the personal responsibility so sorely needed now.,The heads of growing enterprises can develop the willingness and competence to accept the personal responsibility so sorely needed now.,,,,,,,,0,824,0.6723300971,0.56902856,0.56902856,The heads of growing enterprises can develop the X and Y to accept the personal responsibility so sorely needed now.,The heads of growing enterprises can develop the competence and willingness to accept the personal responsibility so sorely needed now.,The heads of growing enterprises can develop the willingness and competence to accept the personal responsibility so sorely needed now.,,,"""alpha""; 189; The heads of growing enterprises can develop the competence and willingness to accept the personal responsibility so sorely needed now.","""nonalpha""; 189; The heads of growing enterprises can develop the willingness and competence to accept the personal responsibility so sorely needed now."
190,carpet,tile,"The architects , the tile and carpet makers , the potters , painters , calligraphers , and metalsmiths worked through Abbas 's reign and those of his successors * to enrich the city .","The architects , the tile and carpet makers , the potters , painters , calligraphers , and metalsmiths worked through Abbas 's reign and those of his successors * to enrich the city .",The best carpet and tile makers worked through Abbas's reign and those of his successors to enrich the city.,The best tile and carpet makers worked through Abbas's reign and those of his successors to enrich the city.,,,,,,,,-1,820,0.4926829268,0.431023,0.568977,The best X and Y makers worked through Abbas's reign and those of his successors to enrich the city.,The best carpet and tile makers worked through Abbas's reign and those of his successors to enrich the city.,The best tile and carpet makers worked through Abbas's reign and those of his successors to enrich the city.,,,"""alpha""; 190; The best carpet and tile makers worked through Abbas's reign and those of his successors to enrich the city.","""nonalpha""; 190; The best tile and carpet makers worked through Abbas's reign and those of his successors to enrich the city."
